track_id,title,artist,genre,is_instrumental,mood_tags,tempo_bpm,valence,arousal,youtube_url,description
track_01,Anandoloke Mongololoke,Hemanta Mukhopadhyay,Rabindra Sangeet,false,"calm, peaceful, serene, spiritual, comforting",,0.75,-0.5,https://www.youtube.com/watch?v=M9-sMhP7-2A,"A classic devotional/peaceful song that induces deep calm and spiritual reassurance with gentle acoustic arrangements."
track_02,Ami Chini Go Chini (Flute),Classic Flute Ensemble,Rabindra Sangeet,true,"calm, peaceful, serene, soothing",,0.75,-0.75,https://www.youtube.com/watch?v=F3t6xH1tUo8,"Instrumental flute version of the classic Rabindra Sangeet, offering serene acoustic flows without vocal distraction."
track_03,Noyon Chere Gele Chole,Manabendra Mukhopadhyay,Nazrul Geeti,false,"calm, peaceful, comforting, spiritual",,0.5,-0.5,https://www.youtube.com/watch?v=F2Yt7_kH388,"A soothing, spiritual Nazrul Geeti with gentle instrumentation, providing stability and emotional comfort."
track_04,Tomake Chai,Kabir Suman,Modern Acoustic,false,"calm, comforting, serene, hopeful",,0.75,-0.25,https://www.youtube.com/watch?v=gT8-P3t68H4,"Soft acoustic guitar-driven song conveying warmth, deep love, and serene comfort."
track_05,Ekta Chele,Sahana Bajpaie,Modern Acoustic,false,"calm, peaceful, nostalgic, comforting",,0.5,-0.5,https://www.youtube.com/watch?v=yYt8R1H388A,"A gentle acoustic ballad with comforting female vocals, evoking positive nostalgia and relaxation."
track_06,Amaro Porano Jaha Chay,Sraboni Sen,Rabindra Sangeet,false,"sad, melancholic, somber, longing",,-0.75,-0.5,https://www.youtube.com/watch?v=P1T8u8k7uQ0,"A slow-tempo, somber song expressing deep romantic longing and sadness, using minimalist instruments."
track_07,Shedin Dujone (Violin),Classical Violin Ensemble,Rabindra Sangeet,true,"sad, melancholic, somber, nostalgic",,-0.5,-0.75,https://www.youtube.com/watch?v=V2Yt8_kU88U,"Quiet, weeping instrumental violin arrangement of a melancholic rain-themed song, perfect for reflecting on grief."
track_08,Shunno E Buke Pakhi Mor,Firoza Begum,Nazrul Geeti,false,"sad, melancholic, somber, lonely",,-0.75,-0.5,https://www.youtube.com/watch?v=N3T8y8P3882,"A tragic Nazrul Geeti expressing intense sorrow, grief, and emptiness, delivered with emotional vocal control."
track_09,Coffee House-er Shei Adda,Manna Dey,Old Movie Songs,false,"sad, nostalgic, melancholic, bittersweet",,-0.25,-0.25,https://www.youtube.com/watch?v=84Q5V8m8tSg,"A legendary narrative song about lost friendships and nostalgia. While a bit upbeat in rhythm, the lyrical tone is deeply bittersweet and melancholic."
track_10,Bhalobashi Jare,Arnob,Modern Acoustic,false,"sad, melancholic, longing, lonely",,-0.5,-0.5,https://www.youtube.com/watch?v=Xh0Y8V9f56g,"Melancholic acoustic track with somber guitars and vocals, addressing isolation and unrequited love."
track_11,Trishula,Fossils,Bengali Band,false,"tense, angry, agitated, dramatic",,-0.75,0.75,https://www.youtube.com/watch?v=9_t4E8YtO4g,"Hard rock Bengali song with aggressive guitar riffs and heavy drums, validating feelings of high frustration and anger."
track_12,Acid,Fossils,Bengali Band,false,"tense, angry, anxious, agitated",,-0.75,0.75,https://www.youtube.com/watch?v=f9R3t4Ue882,"High-tempo rock track filled with raw frustration and tension, useful for matching intense emotional outbursts."
track_13,Juddho,Fossils,Bengali Band,false,"tense, angry, agitated, dramatic",,-0.75,0.75,https://www.youtube.com/watch?v=vV9Yt8U3882,"An intense rock song about inner struggle and anger, with high arousal and heavy percussion."
track_14,Karar Oi Louho Kopot,Bengali Band Ensemble,Bengali Band,false,"tense, angry, energetic, dramatic",,-0.5,0.75,https://www.youtube.com/watch?v=K3t8y9P3882,"Rousing revolutionary song with heavy band arrangements, expressing defiance, anger, and tension."
track_15,Bidrohi,Kazi Sabyasachi,Nazrul Geeti,false,"tense, angry, dramatic, agitated",,-0.5,0.5,https://www.youtube.com/watch?v=B3t8y9U388A,"Recitative dramatic poem with intense vocal delivery and tense background string arrangement, representing revolutionary anger."
track_16,Komola Shundori,Coke Studio Bangla,Folk & Baul,false,"joyful, energetic, celebratory, uplifting",,0.75,0.75,https://www.youtube.com/watch?v=sS3Yt8O3882,"Highly energetic folk dance track with dotara and dhol, inducing instant joy and high physical activation."
track_17,Prithibita Naki Chhoto,Mohiner Ghoraguli,Bengali Band,false,"joyful, energetic, hopeful, nostalgic",,0.5,0.5,https://www.youtube.com/watch?v=pYt8R1H388A,"Energetic folk-rock song with upbeat rhythms and a hopeful, nostalgic chorus."
track_18,Aha Ki Anando Akashe Batashe,Anup Ghoshal,Old Movie Songs,false,"joyful, playful, celebratory, uplifting",,0.75,0.5,https://www.youtube.com/watch?v=aYt8R1H388A,"Celebratory film classic expressing pure joy, freedom, and relief with upbeat orchestral acoustics."
track_19,Nao Chhariya De,Abbasuddin Ahmed,Folk & Baul,false,"joyful, energetic, hopeful, uplifting",,0.5,0.5,https://www.youtube.com/watch?v=nYt8R1H388A,"Upbeat folk river song with energetic rhythms, instilling a feeling of motion, hope, and determination."
track_20,Mamo Chitte Niti Nritte,Aditi Munshi,Rabindra Sangeet,false,"joyful, playful, celebratory, uplifting",,0.75,0.5,https://www.youtube.com/watch?v=mYt8R1H388A,"Upbeat Rabindra Sangeet with rhythmic percussion and joyful vocals, moving the listener towards happiness and light activity."
track_21,Amar Hiyar Majhe,Chinmoy Chattopadhyay,Rabindra Sangeet,false,"calm, peaceful, serene, spiritual",,0.75,-0.5,https://www.youtube.com/watch?v=A3t8Y8P3882,"A meditative devotional track with soothing vocals, conveying inner peace and safety."
track_22,Tumi Je Amar,Geeta Dutt,Old Movie Songs,false,"calm, comforting, serene, soothing",,0.75,-0.5,https://www.youtube.com/watch?v=T3t8Y8P3882,"A classic, deeply comforting romantic ballad with soft instrumentation, ideal for emotional stabilization."
track_23,Bhalobashibo Bolilei Go,Aditi Munshi,Folk & Baul,false,"calm, peaceful, comforting, soothing",,0.5,-0.5,https://www.youtube.com/watch?v=B3t8Y9P3882,"Soft, gentle folk song focusing on emotional warmth and gentle acoustic accompaniment."
track_24,Anondoloke (Instrumental Sitar),Classic Sitar Ensemble,Rabindra Sangeet,true,"calm, peaceful, serene, spiritual",,0.75,-0.75,https://www.youtube.com/watch?v=S3t8Y8U3882,"Sitar instrumental offering peaceful harmonic layers, helping anxiety patients find cognitive space."
track_25,Eki Labonye Purna Pran,Kanika Bandyopadhyay,Rabindra Sangeet,false,"calm, peaceful, serene, spiritual",,1.0,-0.5,https://www.youtube.com/watch?v=E3t8Y8P3882,"A deeply spiritual Puja Parba song expressing divine beauty, providing profound peace."
track_26,Cheye Thaki Cheye Thaki,Anjan Dutt,Modern Acoustic,false,"calm, reflective, comforting, soothing",,0.5,-0.25,https://www.youtube.com/watch?v=C3t8Y8C3882,"Quiet acoustic song with soft humming and simple chords, providing a relaxing, reflective atmosphere."
track_27,Amar Kantho Hote Sur Kere Nilo,Haimanti Shukla,Nazrul Geeti,false,"sad, melancholic, somber, lonely",,-0.75,-0.5,https://www.youtube.com/watch?v=K3t8Y9M3882,"A tragic piece expressing loss of voice and depression, featuring crying vocals and solo harmonium."
track_28,Ami Je Jalsagharer,Manna Dey,Old Movie Songs,false,"sad, melancholic, somber, lonely",,-0.75,-0.25,https://www.youtube.com/watch?v=J3t8Y8P3882,"A song of deep regret, loneliness, and despair from a classic movie, heavily layered with somber acoustic strings."
track_29,Bhebe Dekhechho Ki (Acoustic),Cactus,Bengali Band,false,"sad, melancholic, nostalgic, bittersweet",,-0.25,-0.25,https://www.youtube.com/watch?v=B3t8Y8K3882,"Melancholic acoustic version of a band classic, focusing on existential reflection and nostalgic sadness."
track_30,Ami Opar Hoye,Lalon Fakir,Folk & Baul,false,"sad, melancholic, longing, spiritual",,-0.5,-0.5,https://www.youtube.com/watch?v=A3t8Y8O3882,"Devotional Lalon song expressing helplessness, spiritual longing, and melancholia over life's journey."
track_31,Shedin Dujone (Piano),Classical Piano Ensemble,Rabindra Sangeet,true,"sad, melancholic, somber, lonely",,-0.5,-0.75,https://www.youtube.com/watch?v=P3t8Y8P3882,"A slow piano solo version of the melancholic song, letting the listener sit with reflective sorrow."
track_32,Brishti Tomake Dilam,Kabir Suman,Modern Acoustic,false,"sad, melancholic, lonely, longing",,-0.5,-0.5,https://www.youtube.com/watch?v=B3t8Y8D3882,"A slow-tempo rainy acoustic track focusing on solitude, loss, and quiet emotional release."
track_33,Aaro Ekta Juddho,Fossils,Bengali Band,false,"tense, angry, agitated, dramatic",,-0.75,0.75,https://www.youtube.com/watch?v=A3t8Y8J3882,"Heavy band composition addressing societal anger and psychological warfare with distorted riffs and heavy pacing."
track_34,Bhanga Gorar Khela,Coke Studio Bangla,Bengali Band,false,"tense, angry, energetic, dramatic",,-0.5,0.75,https://www.youtube.com/watch?v=B3t8Y8G3882,"A powerful fusion rock rendition of Nazrul's revolutionary poetry, filled with aggressive energy and tension."
track_35,Bohu Dure,Cactus,Bengali Band,false,"tense, anxious, dramatic, agitated",,-0.5,0.5,https://www.youtube.com/watch?v=B3t8Y8D3882,"Anxious rock ballad with soaring vocals and a driving bassline, expressing feelings of disconnect and stress."
track_36,Halud Pakhi,Cactus,Bengali Band,false,"tense, sad, dramatic, longing",,-0.5,0.5,https://www.youtube.com/watch?v=H3t8Y8P3882,"A high-arousal melancholic rock track about death and loss. Fast, heavy drums contrast with the sorrowful lyrics."
track_37,Jhoro Jhoro Borishe (Heavy Fusion),Sahana Bajpaie,Rabindra Sangeet,false,"tense, anxious, dramatic, melancholic",,-0.5,0.5,https://www.youtube.com/watch?v=J3t8Y8B3882,"A dramatic, driving interpretation of the storm song, using fast guitar plucking to induce high physiological engagement."
track_38,Srishti Sukher Ullashe,Kazi Sabyasachi,Nazrul Geeti,false,"tense, energetic, dramatic, agitated",,-0.25,0.75,https://www.youtube.com/watch?v=S3t8Y8U3882,"A highly intense, rapid recital of Nazrul's poem of creation and destruction, backed by dramatic orchestration."
track_39,Dhitang Dhitang Bole,Hemanta Mukhopadhyay,Old Movie Songs,false,"joyful, energetic, celebratory, hopeful",,0.75,0.75,https://www.youtube.com/watch?v=D3t8Y8B3882,"Upbeat rhythmic song mimicking the beat of the madol drum, promoting immediate physical movement and positive mood."
track_40,Poush Toder Dak Dieche,Lopamudra Mitra,Rabindra Sangeet,false,"joyful, energetic, celebratory, uplifting",,0.75,0.5,https://www.youtube.com/watch?v=P3t8Y8D3882,"Uplifting harvest song celebrating winter fields, utilizing joyful, fast-paced acoustic rhythms."
track_41,Khachar Bhitor Achin Pakhi (Upbeat),Coke Studio Bangla,Folk & Baul,false,"joyful, energetic, hopeful, spiritual",,0.5,0.5,https://www.youtube.com/watch?v=K3t8Y8A3882,"Upbeat folk rendition with driving rhythm, lifting the mood with spiritual and traditional sounds."
track_42,Tomar Ghore Bosot Kore,Folk Band,Folk & Baul,false,"joyful, energetic, celebratory, playful",,0.75,0.75,https://www.youtube.com/watch?v=T3t8Y8B3882,"A fast-paced, highly rhythmic folk song with dotara and flutes, encouraging dancing and lighthearted joy."
track_43,Emon Manush Pailam Na,Fusion Band,Bengali Band,false,"joyful, energetic, hopeful, uplifting",,0.5,0.5,https://www.youtube.com/watch?v=E3t8Y8M3882,"A fusion rock cover of a popular baul track, lifting energy and providing emotional drive."
track_44,Pagla Hawa Badal Dine (Upbeat),Somlata Acharyya Chowdhury,Rabindra Sangeet,false,"joyful, energetic, hopeful, playful",,0.75,0.5,https://www.youtube.com/watch?v=P3t8Y8H388A,"A modern, bouncy rendition of the classic storm song, shifting feelings of anxiety to pure excitement and release."
track_45,Prithibi,Cactus,Bengali Band,false,"reflective, nostalgic, bittersweet, philosophical",,0.0,0.0,https://www.youtube.com/watch?v=P3t8Y8R3882,"Mid-tempo rock ballad with philosophical lyrics and stable guitar rhythms, acting as a grounding point."
track_46,Bela Bose,Anjan Dutt,Modern Acoustic,false,"reflective, nostalgic, bittersweet, dramatic",,0.0,0.0,https://www.youtube.com/watch?v=B3t8Y8B3882,"A famous story-song representing middle-class struggles, with a bittersweet telephone call climax, perfect for conversational transitions."
track_47,Amaro Porano Jaha Chay (Esraj),Classic Esraj Player,Rabindra Sangeet,true,"reflective, calm, sad, longing",,-0.25,-0.5,https://www.youtube.com/watch?v=E3t8Y8P3882,"Solitary Esraj performance of a melancholic tune. Provides a highly reflective transitional anchor for quiet sessions."
track_48,Aha Ki Apurbo Shobha,Kishore Kumar,Old Movie Songs,false,"reflective, joyful, peaceful, nostalgic",,0.25,0.0,https://www.youtube.com/watch?v=A3t8Y8S3882,"Soft, nostalgic film track praising nature's beauty, acting as a gentle step-up towards positive valence."
track_49,Jhoro Jhoro Borishe (Flute),Classical Flute Ensemble,Rabindra Sangeet,true,"reflective, calm, sad, soothing",,-0.25,-0.5,https://www.youtube.com/watch?v=F3t6xH1tUo8,"Flute instrumental representing rain, helping transition users from a highly tense state down to quiet reflection."
track_50,Bhalobashi Bhalobashi,Debabrata Biswas,Rabindra Sangeet,false,"reflective, peaceful, comforting, hopeful",,0.25,-0.25,https://www.youtube.com/watch?v=B3t8Y8B388A,"A calm, deep vocal performance focusing on love for the world, serving as a warm bridge to complete calm."
